10598874,/data/provider/raywhite/2017-12-16/19/commaus_26836_2017-12-16_18-35-14_2596992.xml
,/data/provider/raywhite/2017-12-28/02/commaus_23735_2017-12-28_01-35-15_2609881.xml
KAA22672,/data/provider/raywhite/2017-12-22/07/commaus_23602_2017-12-22_06-35-23_2606743.xml
KAA22671,/data/provider/raywhite/2017-12-27/07/commaus_23602_2017-12-27_06-35-17_2609279.xml
MNH18096475,/data/provider/raywhite/2017-10-24/08/commaus_23544_2017-10-24_07-35-19_2471278.xml
KAL10000742,/data/provider/raywhite/2017-12-24/02/commaus_24715_2017-12-24_01-35-43_2608887.xml
MNG21359,/data/provider/raywhite/2017-10-21/12/commaus_23605_2017-10-21_08-35-16_2466402.xml
CRM18125012,/data/provider/raywhite/2017-11-28/07/commaus_23221_2017-11-28_06-35-28_2556560.xml
GLW17704191,/data/provider/raywhite/2017-12-24/02/commaus_24682_2017-12-24_01-35-28_2608675.xml
PTI17919453,/data/provider/raywhite/2017-12-18/10/commaus_28500_2017-12-18_09-35-29_2598913.xml
18140004,/data/provider/raywhite/2017-12-04/01/commaus_26320_2017-12-04_00-35-14_2569008.xml
17958460,/data/provider/raywhite/2017-09-20/12/commaus_25948_2017-09-20_11-35-24_2397178.xml
MNG21351,/data/provider/raywhite/2017-11-28/05/commaus_23605_2017-11-28_04-35-18_2556336.xml
17836013,/data/provider/raywhite/2017-11-01/09/commaus_25753_2017-11-01_08-35-28_2491775.xml
BSC17306412,/data/provider/raywhite/2017-10-23/15/commaus_26559_2017-10-23_14-35-30_2470345.xml
OAK1708536,/data/provider/raywhite/2017-12-24/02/commaus_22997_2017-12-24_01-35-27_2608665.xml
10844734,/data/provider/raywhite/2017-08-27/19/commaus_25735_2017-08-27_18-35-14_2344991.xml
MAN24442,/data/provider/raywhite/2017-10-20/12/commaus_23649_2017-10-20_08-35-41_2464463.xml
MNG21353,/data/provider/raywhite/2017-10-23/11/commaus_23605_2017-10-23_06-35-24_2468270.xml
wet18251441,/data/provider/raywhite/2017-12-20/07/commaus_25625_2017-12-20_06-35-27_2602724.xml
17982166,/data/provider/raywhite/2017-09-26/17/commaus_25779_2017-09-26_16-35-20_2410989.xml
10846018,/data/provider/raywhite/2017-11-20/14/commaus_25735_2017-11-20_13-35-18_2538438.xml
WST21503,/data/provider/raywhite/2017-10-04/04/commaus_26650_2017-10-04_03-35-14_2425340.xml
WAM17166954,/data/provider/raywhite/2017-12-17/02/commaus_24971_2017-12-17_01-36-37_2597434.xml
WST21502,/data/provider/raywhite/2017-11-30/07/commaus_26650_2017-11-30_06-35-25_2562476.xml
MRB18208018,/data/provider/raywhite/2017-12-21/15/commaus_23401_2017-12-21_14-35-20_2606122.xml
GRI3522187,/data/provider/raywhite/2017-10-19/14/commaus_24428_2017-10-19_12-35-21_2462483.xml
ITY17318394,/data/provider/raywhite/2017-08-29/15/commaus_27675_2017-08-29_14-35-29_2350199.xml
CMT18034127,/data/provider/raywhite/2017-10-09/14/commaus_25210_2017-10-09_13-35-27_2437928.xml
10357027,/data/provider/raywhite/2017-12-18/16/commaus_26638_2017-12-18_15-35-18_2600172.xml
18355108,/data/provider/raywhite/2017-12-07/15/commaus_26836_2017-12-07_14-35-28_2579827.xml
